date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:12	1624/1624	---M-Z	200	added ('OK')	text/html	etag:%22658-5b26b71748705-gzip%22	https://motaadmin.dexignlab.com/xhtml/page-error-500.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/page-error-500.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:12	1597/1597	---M-Z	200	added ('OK')	text/html	etag:%2263d-5b26b7178a5b5-gzip%22	https://motaadmin.dexignlab.com/xhtml/page-error-503.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/page-error-503.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:13	2228/2228	---M-Z	200	added ('OK')	text/html	etag:%228b4-5b26b715a2e38-gzip%22	https://motaadmin.dexignlab.com/xhtml/page-lock-screen.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/page-lock-screen.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:13	1477/1477	---M--	200	added ('OK')	image/png	etag:%225c5-5af0a8daf80d9%22	https://motaadmin.dexignlab.com/xhtml/images/browser/icon1.png	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/images/browser/icon1.png	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:14	2338/2338	---M--	200	added ('OK')	image/png	etag:%22922-5af0a8db3ac8f%22	https://motaadmin.dexignlab.com/xhtml/images/browser/icon2.png	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/images/browser/icon2.png	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:14	2582/2582	---M--	200	added ('OK')	image/jpeg	etag:%22a16-5af0a8e94d7da%22	https://motaadmin.dexignlab.com/xhtml/images/profile/pic1.jpg	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/images/profile/pic1.jpg	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:15	217605/217605	---M--	200	added ('OK')	application/x-javascript	etag:%2235205-5af0a1926325c%22	https://motaadmin.dexignlab.com/xhtml/vendor/global/global.min.js	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/vendor/global/global.min.js	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:16	50646/50646	---M--	200	added ('OK')	application/x-javascript	etag:%22c5d6-5af0a2be16de7%22	https://motaadmin.dexignlab.com/xhtml/vendor/bootstrap-select/dist/js/bootstrap-select.min.js	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/vendor/bootstrap-select/dist/js/bootstrap-select.min.js	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:16	210031/210031	---M--	200	added ('OK')	application/x-javascript	etag:%223346f-5af0a0ec5f194%22	https://motaadmin.dexignlab.com/xhtml/vendor/chart.js/Chart.bundle.min.js	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/vendor/chart.js/Chart.bundle.min.js	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:17	10972/10972	---M--	200	added ('OK')	application/x-javascript	etag:%222adc-5afe576894a74%22	https://motaadmin.dexignlab.com/xhtml/js/custom.min.js	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/js/custom.min.js	(from https://motaadmin.dexignlab.com/xhtml/index.html)
